date,event
2024-10-02 16:00:00,Evolución de la distribución del ingreso (EPH). Segundo trimestre de 2024
2024-10-03 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Agosto de 2024
2024-10-08 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Agosto de 2024
2024-10-08 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Agosto de 2024
2024-10-09 16:00:00,Índice de producción industrial minero (IPI minero). Agosto de 2024
2024-10-09 16:00:00,Indicador sintético de servicios públicos (ISSP). Julio de 2024
2024-10-10 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Septiembre de 2024
2024-10-10 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).  Septiembre de 2024
2024-10-15 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Agosto de 2024
2024-10-15 16:00:00,Índices de patentamientos. Tercer trimestre de 2024
2024-10-16 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.  Septiembre de 2024"
2024-10-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Septiembre de 2024
2024-10-17 16:00:00,Índice del costo de la construcción (ICC). Septiembre de 2024
2024-10-18 16:00:00,Intercambio comercial argentino (ICA). Septiembre de 2024
2024-10-18 16:00:00,Cuenta de generación del ingreso e insumo de mano de obra. Segundo trimestre de 2024
2024-10-21 16:00:00,Encuesta de ocupación hotelera (EOH). Agosto de 2024
2024-10-23 16:00:00,Estimador mensual de actividad económica (EMAE). Agosto de 2024
2024-10-24 16:00:00,Encuesta de supermercados. Agosto de 2024
2024-10-24 16:00:00,Encuesta de autoservicios mayoristas. Agosto de 2024
2024-10-24 16:00:00,Encuesta nacional de centros de compras. Agosto de 2024
2024-10-25 16:00:00,Índice de salarios. Agosto de 2024
2024-10-25 16:00:00,Estadísticas de turismo internacional (ETI). Septiembre de 2024
2024-10-31 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades.   Septiembre de 2024"
2024-11-01 16:00:00,Índices de precios y cantidades del comercio exterior. Tercer trimestre de 2024
2024-11-05 16:00:00,Indicadores de condiciones de vida de los hogares (EPH). Primer semestre de 2024
2024-11-05 16:00:00,Bases de microdatos de la Encuesta Permanente de Hogares. Segundo trimestre de 2024
2024-11-06 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Septiembre de 2024
2024-11-06 16:00:00,Argentine Foreign Trade Statistics. Tercer trimestre de 2024
2024-11-07 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Septiembre de 2024
2024-11-07 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Septiembre de 2024
2024-11-08 16:00:00,Índice de producción industrial minero (IPI minero). Septiembre de 2024
2024-11-12 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Octubre de 2024
2024-11-12 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).   Octubre de 2024
2024-11-12 16:00:00,Índice de salarios. Septiembre de 2024
2024-11-13 16:00:00,Indicador sintético de servicios públicos (ISSP). Agosto de 2024
2024-11-13 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Septiembre de 2024
2024-11-14 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.   Octubre de 2024"
2024-11-19 16:00:00,Índice del costo de la construcción (ICC). Octubre de 2024
2024-11-19 16:00:00,Sistema de índices de precios mayoristas (SIPM). Octubre de 2024
2024-11-20 16:00:00,Intercambio comercial argentino (ICA). Octubre de 2024
2024-11-21 16:00:00,Encuesta de ocupación hotelera (EOH). Septiembre de 2024
2024-11-22 16:00:00,Estimador mensual de actividad económica (EMAE). Septiembre de 2024
2024-11-25 16:00:00,Estadísticas de turismo internacional (ETI). Octubre de 2024
2024-11-26 16:00:00,Encuesta nacional de centros de compras. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de supermercados. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de autoservicios mayoristas. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de comercios de electrodomésticos y artículos para el hogar. Tercer trimestre de 2024
2024-11-28 16:00:00,Informe de la industria de maquinaria agrícola. Tercer trimestre de 2024
2024-11-29 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades.   Octubre de 2024"
2024-12-03 16:00:00,Formación bruta de capital fijo del sector gobierno general. Año 2023
2024-12-03 16:00:00,Cuentas por sectores institucionales. Sector Gobierno General. Año 2023
2024-12-03 16:00:00,Cuentas por sectores institucionales. Sector sociedades financieras. Subsectores banco central y 
2024-12-03 16:00:00,sociedades de depósito excepto el banco central. Año 2023
2024-12-04 16:00:00,Accesos a internet. Tercer trimestre de 2024
2024-12-04 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Octubre de 2024
2024-12-05 16:00:00,Índice de producción industrial minero (IPI minero). Octubre de 2024
2024-12-06 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Octubre de 2024
2024-12-06 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Octubre de 2024
2024-12-10 16:00:00,Indicador sintético de servicios públicos (ISSP). Septiembre de 2024
2024-12-11 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Noviembre de 2024
2024-12-11 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).   Noviembre de 2024
2024-12-12 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Octubre de 2024
2024-12-13 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.  "
