;CC;CK;CF;VarR;Errores;ToT;PBIUSD;XN
2006-01-01;703.2668735;10.4;781.036609;-6633.94;67.36973551;99.82014388;210067.6865;2553.687423
2006-04-01;1916.594451;39.9;1980.882778;3843.01;24.38832637;100.1774623;237358.7536;3723.831617
2006-07-01;1516.866479;45.4304121;1232.386082;2529.96;-329.9108092;101.5611448;236258.0697;2808.549096
2006-10-01;2362.074716;1.893915703;3486.125419;3790.8;1122.156787;103.8161318;247752.0524;3306.452119
2007-01-01;601.8020874;11.5;1476.29678;4659.69;862.9946921;106.626506;250122.3511;1985.540269
2007-04-01;2026.190555;6.683196445;961.5922927;6339.64;-1071.281459;102.8356964;293380.3466;3493.541072
2007-07-01;449.2648267;102.2107155;696.7619232;-841.75;145.286381;102.388535;291373.3799;1668.43176
2007-10-01;2971.280424;0.751977;2764.795884;2932.14;-207.2365163;117.7849636;316313.2843;4125.33209
2008-01-01;1323.214564;43.631;2610.935836;3534.21;1244.090271;131.0725552;327464.9494;3183.13063
2008-04-01;319.2597939;14.75114479;-667.9617639;-2620.94;-1001.972703;117.2656801;388869.1932;2166.946916
2008-07-01;2991.91882;123.8;4535.499591;-49.43;1419.780771;119.0443686;388555.4442;4779.475302
2008-10-01;786.8131502;2.877871935;75.48051959;-846.46;-714.2105026;115.5420773;351087.4613;2426.834226
2009-01-01;1190.691554;22.06829677;1063.586925;267.12;-149.1729264;115.2444076;313885.0851;3611.497137
2009-04-01;4297.825088;0.6;3073.765359;-698.72;-1224.659729;118.3075671;335513.4843;6411.407235
2009-07-01;704.7218969;54.71673189;556.7139102;1811.09;-202.7247185;123.3360723;331482.2184;3297.332435
2009-10-01;1060.877144;2.59919932;2018.716423;-33.28;955.2400795;129.086337;356038.2479;3565.590488
2010-01-01;-1632.519837;17.27578749;-1661.394455;-303.6;-46.15040524;129.2209928;369481.532;1987.483811
2010-04-01;2101.383471;3.9;937.4883528;2104.41;-1167.795118;116.7222864;432110.836;5252.698515
2010-07-01;-529.2355554;54.735;-816.5830661;1278.8;-342.0825108;122.1520872;434552.5959;2758.85056
2010-10-01;-1562.62395;2.567097248;-2261.614119;1077.74;-701.5572665;135.259467;461017.6103;1382.836091
2011-01-01;-2242.127763;16.4506;-1876.309763;-1159.49;349.3673996;140.1541994;470727.7222;1386.161911
2011-04-01;508.9882187;1.15;168.1348317;225.72;-342.003387;134.5378493;548002.6598;4065.438718
2011-07-01;-1516.10986;44.622;-3477.044648;-3153.52;-2005.556787;137.3494503;540047.8172;1854.145058
2011-10-01;-2090.931788;0.501246224;-66.98339575;-2020.62;2023.447146;143.4178564;549663.0465;1714.669886
2012-01-01;-1782.469383;0.85;-2004.788474;669.8;-223.1690914;145.6069797;540318.2482;2368.537679
2012-04-01;498.9083731;22.19029957;258.8738525;-698.83;-262.2248202;134.1062867;595578.8422;3827.535942
2012-07-01;66.35741671;28.495;-519.4454762;-1726.49;-614.2978929;147.8219729;586867.6469;3433.407649
2012-10-01;-920.8367676;-3.651255;-522.775516;-1549.2;401.7125066;151.3344802;593937.7955;2378.692089
2013-01-01;-3885.826185;1.015756218;-4667.634966;-2583.43;-782.8245368;141.0892169;576371.4221;296.7029197
2013-04-01;-325.7456782;0.2678375;-734.4498816;-2710.69;-408.9720409;131.4065499;646708.7842;2907.675847
2013-07-01;-3022.104597;32.6452675;-4238.578886;-2584.9;-1249.119557;135.254048;615407.4147;584.0155719
2013-10-01;-5890.697325;-0.5159875;-6524.232758;-3944.74;-633.0194448;133.6375386;608232.9701;-2267.213072
2014-01-01;-6047.554655;1.728013;-4502.537112;-3733.12;1543.28953;134.487104;515455.2449;-2740
2014-04-01;646.3358266;16.01700659;431.6133964;2184.01;-230.7394367;135.9877321;583640.0838;3581
2014-07-01;-1839.826021;39.69780833;-2166.982684;-982.81;-366.8544715;131.8668988;564641.5382;1089
2014-10-01;-1937.981418;-0.645722788;-3082.765905;3727.03;-1144.138764;127.2605758;588586.2829;740
2015-01-01;-5543.861732;9.55277;-5611.677989;339.1;-77.36902675;129.2449353;586166.319;-1458
2015-04-01;-2469.06151;2.710418189;-2497.96955;2300.09;-31.61845797;121.7396777;664942.1908;764
2015-07-01;-4507.927525;38.52469283;-5404.413446;-227.0974748;-935.0106139;126.1074773;672794.8948;-1026
2015-10-01;-5101.134401;1.141318745;-4983.788237;-7318.062525;116.2048451;129.049198;644047.7748;-1701
2016-01-01;-4896.510632;84.34735468;-4731.283369;3545;81.85874156;128.6481647;485521.0179;-333
2016-04-01;-2930.591283;33.30435831;-3103.706427;1073.8;-205.4406693;133.1221719;591847.1637;1082
2016-07-01;-2967.120322;110.3579063;-4655.929014;-569.4119543;-1798.187766;139.5515695;570602.0778;1115
2016-10-01;-4310.564287;142.794927;-1473.137374;10261.84745;2696.685449;135.1016799;579888.1644;104
2017-01-01;-7234.668839;45.30373485;-6224.361041;10938.21326;965.0040629;130.4982818;589782.3153;-1182
2017-04-01;-6605.310594;43.503717;-6971.157989;-2804.38305;-409.3511124;126.984127;672114.1728;-1423
2017-07-01;-8148.704855;79.17834642;-8878.074829;1885.219381;-808.5483201;128.0445969;643720.3211;-2495
