;EMAE;Campo;Minas;Comercio;Inmobiliaria;IPI;ISAC
2004-01-01;98.38;66.00;100.70;92.07;91.42;;
2004-02-01;98.16;64.93;95.41;91.46;94.05;;
2004-03-01;97.82;110.67;100.25;109.13;99.65;;
2004-04-01;95.09;150.07;96.70;99.42;97.60;;
2004-05-01;96.91;209.39;104.10;100.53;99.80;;
2004-06-01;98.74;144.66;100.68;104.34;101.71;;
2004-07-01;100.83;94.86;100.80;100.83;100.86;;
2004-08-01;102.13;64.86;102.27;99.55;101.57;;
2004-09-01;102.38;60.75;100.58;99.96;103.00;;
2004-10-01;103.17;62.67;101.39;101.16;100.69;;
2004-11-01;103.66;78.42;96.38;102.42;103.28;;
2004-12-01;102.74;92.74;100.72;99.13;106.36;;
2005-01-01;105.64;65.70;101.20;99.65;95.91;;
2005-02-01;106.02;69.21;93.22;99.74;98.55;;
2005-03-01;106.83;138.56;101.59;118.33;102.98;;
2005-04-01;108.10;208.90;99.13;112.52;103.98;;
2005-05-01;109.22;294.86;104.31;115.05;105.90;;
2005-06-01;108.61;197.55;99.49;113.00;107.12;;
2005-07-01;109.14;98.41;104.13;109.86;104.60;;
2005-08-01;109.32;63.85;102.78;111.87;107.85;;
2005-09-01;109.30;59.39;98.04;111.40;109.22;;
2005-10-01;109.90;60.66;96.29;109.47;107.44;;
2005-11-01;111.24;79.32;97.36;115.20;109.87;;
2005-12-01;112.92;100.75;98.74;108.93;114.81;;
2006-01-01;113.80;69.23;104.03;110.08;103.12;;
2006-02-01;114.75;66.80;94.48;110.14;105.62;;
2006-03-01;114.28;126.90;106.30;130.60;110.93;;
2006-04-01;115.72;190.89;104.06;119.70;109.56;;
2006-05-01;115.11;279.85;109.15;125.39;112.87;;
2006-06-01;116.24;188.66;106.30;124.09;114.64;;
2006-07-01;118.10;103.81;109.34;121.82;113.98;;
2006-08-01;118.80;71.25;107.52;125.43;113.76;;
2006-09-01;119.92;66.92;107.02;123.16;114.55;;
2006-10-01;120.59;62.95;109.48;124.44;115.53;;
2006-11-01;120.64;80.07;98.23;129.73;117.10;;
2006-12-01;123.38;97.56;104.99;118.90;120.92;;
