;Tit Publicos;Adeltantos Transitorios;BM;Cuasimonedas;Circulante;CPP;CB;R;Depositos;Cta Corriente;M1;Cta Ahorro;M2;Deposito plazo;M3;Lebac;LeLiq;Pases Netos;Var. BM;Neto compra divisas;Oper con el Tesoro;Pases y Redescuentos;LEBAC-NOBAC;Rescate Cuasimonedas;Otros-Var.BM
2004-01-01;7856;7369;47004;31;29205;25987;3219;17767;85566;22711;50155;13916;64071;47482;111553;39499;;-45;602;1428;125;-205;-935;155;34
2004-02-01;7708;7369;46889;4;28935;26013;2922;17950;87510;23565;50785;15403;66189;47334;113523;43330;;-44;-101;142;311;-52;-566;;64
2004-03-01;7918;6869;44567;1;29265;26206;3058;15302;85608;22505;50549;15263;65813;46002;111815;45453;;-45;-1260;-2665;1399;-25;-342;;373
2004-04-01;8420;6869;46092;;29581;26292;3289;16511;87933;24055;52119;16182;68301;45924;114225;48174;;-40;1432;2200;14;-107;-661;;-15
2004-05-01;8347;6869;47122;;29978;26823;3155;17144;89851;26201;54620;16520;71141;45534;116674;50611;;5;586;1348;3;-450;-367;;52
2004-06-01;8093;8099;47984;;30759;27427;3332;17225;92949;27202;56532;16911;73443;46933;120376;56375;;535;976;771;1245;-910;-200;;71
2004-07-01;8042;8099;46495;;32167;28749;3418;14328;94819;27572;57765;18272;76037;47530;123567;74405;;3604;-1565;1815;-167;-2806;-248;;-159
2004-08-01;8365;8849;46507;;32112;28835;3277;14395;96465;27398;56782;20402;77184;48116;125300;77169;;3928;344;193;-29;-472;388;;265
2004-09-01;8491;9599;46335;;32023;28746;3277;14313;97961;27155;56613;20687;77301;49406;126707;78534;;4703;127;-531;662;-286;-255;;537
2004-10-01;8737;10631;46560;;32121;28736;3385;14439;99083;28020;57026;20674;77700;50119;127819;82653;;5513;-1644;-94;930;-2379;-159;;59
2004-11-01;8446;11488;47131;;32442;29108;3334;14689;100994;28535;59208;19647;78855;51247;130102;89287;;5748;2785;1560;690;598;-125;;61
2004-12-01;8505;13309;50537;;35838;31702;4136;14699;102121;30036;64468;18789;83257;50567;133823;86552;;5491;3802;2367;1897;-112;-409;;60
