;Canasta
1/1/2000;134.9197098
1/2/2000;132.353555
1/3/2000;132.97686
1/4/2000;136.1287109
1/5/2000;141.2514381
1/6/2000;145.0146905
1/7/2000;146.7543609
1/8/2000;149.121364
1/9/2000;149.0909259
1/10/2000;146.1497551
1/11/2000;147.9507658
1/12/2000;151.0968938
1/1/2001;156.283317
1/2/2001;158.2883691
1/3/2001;162.0128028
1/4/2001;163.8968846
1/5/2001;163.5318124
1/6/2001;163.7603508
1/7/2001;166.1241964
1/8/2001;166.3420686
1/9/2001;170.102044
1/10/2001;170.1440355
1/11/2001;167.6566254
1/12/2001;164.803211
1/1/2002;167.0339198
1/2/2002;168.3475895
1/3/2002;165.6811389
1/4/2002;165.5598973
1/5/2002;168.31324
1/6/2002;174.9485718
1/7/2002;188.0655933
1/8/2002;191.4173668
1/9/2002;203.7928428
1/10/2002;197.1268192
1/11/2002;196.5115849
1/12/2002;200.8482527
1/1/2003;213.9918554
1/2/2003;215.9176178
1/3/2003;214.2978793
1/4/2003;206.9830189
1/5/2003;206.5793339
1/6/2003;204.1171847
1/7/2003;208.3022136
1/8/2003;204.9033759
1/9/2003;205.6299
1/10/2003;201.7289671
1/11/2003;199.4561465
1/12/2003;194.3729635
1/1/2004;201.7190534
1/2/2004;199.2452974
1/3/2004;200.9141263
1/4/2004;201.2076039
1/5/2004;207.0213459
1/6/2004;204.0034068
1/7/2004;200.8213187
1/8/2004;195.2232059
1/9/2004;198.2796979
1/10/2004;195.493892
1/11/2004;188.6758249
1/12/2004;179.0808319
1/1/2005;195.4710731
1/2/2005;192.6731898
1/3/2005;196.1756597
1/4/2005;194.4259129
1/5/2005;193.7870404
1/6/2005;192.6355674
1/7/2005;190.0131131
1/8/2005;187.8156909
1/9/2005;185.6460988
1/10/2005;187.2252377
1/11/2005;183.5363643
1/12/2005;184.0530429
1/1/2006;190.5875906
1/2/2006;188.3909591
1/3/2006;192.1982674
1/4/2006;195.7958621
1/5/2006;204.256294
1/6/2006;209.5599318
1/7/2006;201.4027732
1/8/2006;199.6629932
1/9/2006;199.1146377
1/10/2006;192.7668963
1/11/2006;192.4746843
1/12/2006;189.7928018
1/1/2007;201.4358979
1/2/2007;199.5814802
1/3/2007;197.8796733
1/4/2007;190.3105467
1/5/2007;177.7115571
1/6/2007;182.8056767
1/7/2007;181.0445652
1/8/2007;193.7439936
1/9/2007;183.9134528
1/10/2007;179.2745975
1/11/2007;185.0399283
1/12/2007;182.0465635
1/1/2008;174.3339249
1/2/2008;167.0900585
1/3/2008;164.7143837
1/4/2008;162.8487095
1/5/2008;163.7578814
1/6/2008;178.7012271
1/7/2008;169.1014749
1/8/2008;178.8700078
1/9/2008;199.1400182
1/10/2008;224.4143575
1/11/2008;219.6447223
1/12/2008;212.9751466
1/1/2009;239.7546933
1/2/2009;246.3465456
1/3/2009;244.0617271
1/4/2009;225.7553758
1/5/2009;213.0425253
1/6/2009;210.2588813
1/7/2009;203.6995911
1/8/2009;206.5501269
1/9/2009;197.2339486
1/10/2009;199.6037377
1/11/2009;196.7136978
1/12/2009;200.5289284
1/1/2010;186.2860547
1/2/2010;182.372853
1/3/2010;181.9218284
1/4/2010;183.608063
1/5/2010;185.9747516
1/6/2010;184.1064325
1/7/2010;176.865319
1/8/2010;174.0116829
1/9/2010;170.2091478
1/10/2010;173.0807477
1/11/2010;179.5682714
1/12/2010;176.068333
1/1/2011;189.1014838
1/2/2011;190.7114607
1/3/2011;188.3443596
1/4/2011;179.0373522
1/5/2011;182.0512692
1/6/2011;179.8079861
1/7/2011;179.4853683
1/8/2011;180.1267839
1/9/2011;197.770563
1/10/2011;189.7833372
1/11/2011;198.7117433
1/12/2011;198.2562567
1/1/2012;195.8039602
1/2/2012;191.1420682
1/3/2012;193.6575825
1/4/2012;191.4778643
1/5/2012;200.3290872
1/6/2012;194.8183075
1/7/2012;193.7432575
1/8/2012;195.9331199
1/9/2012;193.3401657
1/10/2012;196.5737905
1/11/2012;195.2485736
1/12/2012;191.2336604
1/1/2013;186.8821037
1/2/2013;189.8669906
1/3/2013;190.100285
1/4/2013;190.3830707
1/5/2013;199.3836454
1/6/2013;201.6334518
1/7/2013;200.2527234
1/8/2013;203.0713378
1/9/2013;200.4146769
1/10/2013;200.0384304
1/11/2013;205.1274043
1/12/2013;204.2277512
1/1/2014;214.0156858
1/2/2014;216.3650924
1/3/2014;209.8179142
1/4/2014;208.4430024
1/5/2014;203.9943799
1/6/2014;202.9814909
1/7/2014;204.7175092
1/8/2014;209.3864976
1/9/2014;218.7538734
1/10/2014;219.1683103
1/11/2014;234.770872
1/12/2014;248.2767794
1/1/2015;230.0325882
1/2/2015;232.8206083
1/3/2015;240.479284
