;Gastos;Ingresos;Superavit Primario;Superavit Financiero;Intereses de Deuda 
1/1/2000;5576.9;5470.9;-106;-586.4;480.4
1/2/2000;4913.8;4963.6;49.8;-743.1;792.9
1/3/2000;5300.5;5711.3;410.8;-705.6;1116.4
1/4/2000;5169.1;5267.1;98;-594.5;692.5
1/5/2000;4915.7;5482.7;567;-578.4;1145.4
1/6/2000;5041.1;6454.3;1413.2;874.5;538.7
1/7/2000;6309.3;5932.6;-376.7;-1062;685.3
1/8/2000;4898.2;5450.9;552.7;-57.4;610.1
1/9/2000;4814.8;5179.2;364.4;-454.3;818.7
1/10/2000;5078.2;5366.6;288.4;-404.7;693.1
1/11/2000;5118.9;4902.4;-216.5;-1640.4;1423.9
1/12/2000;5817.9;5637.2;-180.7;-839.3;658.6
1/1/2001;6069.6;5839;-230.6;-984.6;754
1/2/2001;4746.9;5099.7;352.8;-555.3;908.1
1/3/2001;5476.3;5015.7;-460.6;-1475.2;1014.6
1/4/2001;5007.8;4872.7;-135.1;-878.1;743
1/5/2001;5131.4;5858.8;727.4;-1000.5;1727.9
1/6/2001;4872.7;5882.6;1009.9;-310.7;1320.6
1/7/2001;6214.3;5755.5;-458.8;-1000.6;541.8
1/8/2001;4537.8;5104.1;566.3;73.8;492.5
1/9/2001;4171.6;4751.9;580.3;125;455.3
1/10/2001;4429.3;4612;182.7;-696.5;879.2
1/11/2001;4178.4;4186.3;7.9;-860.3;868.2
1/12/2001;4430.5;3743.6;-686.9;-1156.3;469.4
1/1/2002;5298;5048.3;-249.7;-439.5;189.8
1/2/2002;4343.3;4021.1;-322.2;-654.2;332
1/3/2002;5688.1;4410.2;-1277.9;-1424.6;146.7
1/4/2002;4636;4177.3;-458.7;-755.9;297.2
1/5/2002;5147.5;6202.5;1055;-123.8;1178.8
1/6/2002;4811;5403.7;592.7;298.6;294.1
1/7/2002;6497.9;6587.4;89.5;-473.4;562.9
1/8/2002;5165.1;5861.9;696.8;-249.8;946.6
1/9/2002;5060.3;5280.3;220;-912.4;1132.4
1/10/2002;5413.4;6701.9;1288.5;1161.1;127.4
1/11/2002;5489.3;6171.6;682.3;-637.9;1320.2
1/12/2002;6460.3;6404.2;-56.1;-337.5;281.4
1/1/2003;6171.4;7025.7;854.3;380.3;474
1/2/2003;5774.7;6224.1;449.4;-741.6;1191
1/3/2003;5904.1;6389.1;485;163.6;321.4
1/4/2003;6475.7;7138.8;663.1;420.2;242.9
1/5/2003;7191.9;8933.2;1741.3;906;835.3
1/6/2003;7084.3;7822.5;738.2;295.5;442.7
1/7/2003;7731.6;8310.7;579.1;285.9;293.2
1/8/2003;6741;7622.7;881.7;-396.5;1278.2
1/9/2003;6790.1;7553.2;763.1;492.8;270.3
1/10/2003;6603.8;7572.4;968.6;504.7;463.9
