;Endeudamiento ARS;Endeudamiento USD;Amort ARS;Amort USD
2000-01-01;3;2154.1;110.8;1302.1
2000-02-01;14;3283.9;115.9;1078
2000-03-01;2.8;2958.2;192.1;2374.4
2000-04-01;1.1;1477.7;123.2;1472.8
2000-05-01;10.1;1682;97.9;1328.7
2000-06-01;11.3;2537.8;129.1;1645
2000-07-01;29.7;3406.6;184;1427
2000-08-01;32.6;1413.1;174.6;2156.9
2000-09-01;54.9;3310.8;87.3;3174.3
2000-10-01;19;2206.9;141;1858.2
2000-11-01;7.4;3037.4;89.4;1871.7
2000-12-01;29.8;3037.4;141.9;1544.2
2001-01-01;25.4;4060.8;156.8;1536
2001-02-01;0;2492.5;98.3;2371.3
2001-03-01;1.5;2201.7;74.1;3219.4
2001-04-01;1.5;4689.3;150.5;3046.7
2001-05-01;24.7;3777.6;62.6;2814.8
2001-06-01;3.4;1557.2;311.3;979.7
2001-07-01;2.5;1968.3;60.8;2151
2001-08-01;7.2;2320.8;39.7;2354.4
2001-09-01;3.2;8779.8;28.3;3146.9
2001-10-01;3.6;2626.2;50.7;2897.3
2001-11-01;2.6;2934.9;33.1;2541.5
2001-12-01;820.3;3691.2;35.9;2714.5
2002-01-01;7.1;3316.5;866.8;2868.7
2002-02-01;602.1;3715.7;20.9;3267.6
2002-03-01;1946.8;31.6;309.4;275
2002-04-01;633.2;0.8;123.4;927.3
2002-05-01;56.4;78.4;35.2;2328.6
2002-06-01;30.8;116.3;12.1;635
2002-07-01;2.6;117.5;58.9;2385.9
2002-08-01;97.1;185.7;89.8;482.8
2002-09-01;64.9;792.3;32.3;4505.6
2002-10-01;321.6;60;12.7;761.7
2002-11-01;1972.1;7.5;160.6;500.3
2002-12-01;2307.6;191;196.7;258.3
2003-01-01;4604.5;3449.4;4602.2;7503.9
2003-02-01;228;2990.5;1080.1;284.4
2003-03-01;109.4;1057.1;635.7;677.3
2003-04-01;112.2;671.5;273.9;311.8
2003-05-01;2311.3;1831.4;168.3;2984.2
2003-06-01;568.9;1807.4;59.9;1959.5
2003-07-01;339;2211.5;79.9;2990.6
2003-08-01;74.9;3029.5;443.1;322.4
2003-09-01;5131.9;8752.6;4739.9;8962.9
2003-10-01;1984.7;272.4;625.8;2460.9
2003-11-01;523.9;1434.3;558.8;683.4
2003-12-01;2407.9;2179;1270.3;1955.5
2004-01-01;77;1250.9;77.8;147.5
2004-02-01;137.4;112.7;612.3;322
2004-03-01;6254.1;9369.6;6987;10811.1
2004-04-01;78.1;194.2;40.2;890.9
2004-05-01;29;168.9;78.3;1052.9
2004-06-01;1310.1;631.2;167.2;1331.5
2004-07-01;61.2;164.8;428.5;591.6
2004-08-01;840.5;230.2;952.4;733.6
2004-09-01;991;142.1;992.1;1509.9
2004-10-01;1703.2;173;654.6;916
2004-11-01;1384.8;221.4;676.5;682.3
2004-12-01;3201.4;344.9;1382.7;1860.9
2005-01-01;3004.7;84.5;2026.3;632.5
2005-02-01;4804.7;604.4;3681.6;1191.6
2005-03-01;195.2;91.6;772.4;2402.8
2005-04-01;2050.2;137.1;838.8;1365.9
2005-05-01;3087.2;467.2;4172.1;1734.8
2005-06-01;241.9;827.6;843.1;1664.6
2005-07-01;3630;1857.2;805.9;637.6
2005-08-01;3023.7;1006.4;4429;5020.1
2005-09-01;554.3;236.3;704.3;1918.2
2005-10-01;3505.3;2446.9;2780.3;878
2005-11-01;5122.1;218.6;7379.3;1037.3
2005-12-01;8917.9;2064.4;4101.4;1843.5
2006-01-01;2280;758.9;5851.5;236.6
2006-02-01;3150;2396.2;4951.5;1381.6
2006-03-01;5257;1567.8;6192.2;490.2
2006-04-01;350;88.5;855.1;554
2006-05-01;433;2522.7;2721.9;966.9
2006-06-01;3584.7;2178.1;5187;393.2
2006-07-01;450;3090.1;862;191.9
2006-08-01;2550;156;2538;7618.1
2006-09-01;1027;1692;1068.2;492.8
2006-10-01;5685.7;1479.7;6815.5;536.3
2006-11-01;3907;1168.6;3992.1;323.2
2006-12-01;4620.6;2959.9;1492.1;1161.5
2007-01-01;0;1678.1;2234.9;526.7
2007-02-01;6900;3984.6;6827.6;1749.2
2007-03-01;3417.3;657.3;3810.4;570.5
2007-04-01;642;2252.6;1080.2;1476.3
2007-05-01;3564.2;2493.4;4015.5;304.9
2007-06-01;2018.5;310.5;686.7;582.1
2007-07-01;2592.3;474.4;2758.1;238.8
2007-08-01;6376.5;2304.1;2826.4;8603.1
2007-09-01;883.8;207.3;1274.4;607.4
2007-10-01;3190.7;563.2;4967.9;442.4
2007-11-01;5529.3;6553.4;4838.4;335.4
2007-12-01;13345.3;2532.2;14722.7;647.3
2008-01-01;6813.6;205.3;726.2;157
2008-02-01;4450;117.4;4545.3;1833.7
2008-03-01;5010.7;227.6;5205;717.7
2008-04-01;3840.5;218.9;3800.2;1316.8
2008-05-01;549;3481.9;2339.6;259.5
2008-06-01;839.3;369.6;1678.1;621.5
2008-07-01;2989;3428.7;2785.5;150.4
2008-08-01;2509.3;239.9;1096.7;7131.9
2008-09-01;3535.8;331.1;2732.8;582
2008-10-01;3119.2;867.5;2836.6;453.6
2008-11-01;2650.5;518;2953;253.8
2008-12-01;23414.6;2864.2;20635.2;1002.2
2009-01-01;2018.5;345.1;8315.6;397.8
2009-02-01;2703.2;479.1;3132.7;770
2009-03-01;12656.1;593.9;9147;744.9
2009-04-01;8937.5;492.4;3748.3;1589.7
2009-05-01;3417.6;824.5;1188.1;484.8
2009-06-01;14244.9;1861.3;5773.4;952.3
2009-07-01;5677.8;1204;3191.8;156.6
2009-08-01;1365.7;1174.8;1968.2;9457.4
2009-09-01;10639.3;2654.3;6684;689.5
2009-10-01;4580;1963.5;3969.9;573.6
2009-11-01;6324.3;7687.3;6814.5;2886.7
2009-12-01;13084.6;4736.7;15252.4;623.1
2010-01-01;3680;2066.7;2957.4;1426.5
2010-02-01;5332.8;1616.4;2592;941.1
2010-03-01;11962.9;3917.9;11150.4;1342.1
2010-04-01;8395.4;4487.8;4691.3;4178.6
2010-05-01;8247;1191.1;3757.1;328.8
2010-06-01;7972.7;1084.7;6913.6;1269.1
2010-07-01;2385.8;1781.2;2944;334.1
2010-08-01;2979.1;754.3;1331.6;9661.7
2010-09-01;2833.7;2841.6;4047.3;1388
2010-10-01;3654.4;1634.7;3915.6;518.6
2010-11-01;7691.5;7253.1;7564.6;6035.9
2010-12-01;22138.7;5580.8;28714.4;4115.1
2011-01-01;16850;312.8;4167.7;141.4
2011-02-01;2151.4;1482.6;2532.7;2207.7
2011-03-01;9701.5;7818.2;10015.8;13189.5
2011-04-01;8897.9;3925.9;6705.8;3838.1
2011-05-01;5490.4;2696;3890.6;2681.7
2011-06-01;10160.4;3286.6;5000.3;829.3
2011-07-01;2982;2010.3;3063.6;226.2
2011-08-01;1552.6;3082;1491.6;10680.3
2011-09-01;9035.7;2568.5;3718.2;737.1
2011-10-01;5249.2;2134.8;4256.6;785.3
2011-11-01;12455.8;9937.9;8332.1;9074.7
2011-12-01;33397;5589.7;42344.1;850.5
2012-01-01;22049.8;1475.9;2360.4;206
2012-02-01;9741.1;1543.3;6586.4;2077.7
2012-03-01;13126.9;2510.4;8515;1975.8
2012-04-01;8067;4464.7;7212.7;653.6
2012-05-01;4819;11833.2;3778.1;3161.6
2012-06-01;5204.4;481.3;6178.1;757.3
2012-07-01;18700.7;1335.8;6416.3;560.4
2012-08-01;13194.2;1431.7;2315.7;11537
2012-09-01;14695.5;532.2;7228.7;1331.7
2012-10-01;9705.4;1203.7;9110.9;1688.2
2012-11-01;19632.1;1575.3;8423.8;1915.2
2012-12-01;59842.4;3689.4;61410.5;2500.8
2013-01-01;31868.7;298;2590.3;342.2
2013-02-01;9206.1;397.6;6941.4;1435.5
2013-03-01;20178.2;2889.2;13869.8;3416.3
2013-04-01;15608.1;3249.2;14304.6;4657.1
2013-05-01;9361.8;2377.5;5966.9;1323.2
2013-06-01;21835.3;3403.3;6378.4;4206.8
2013-07-01;22390.4;915.6;16577.8;1778.9
2013-08-01;4871;55465;6395.9;2115.2
2013-09-01;5879.7;3688.6;10596.1;14899.6
2013-10-01;23321.8;3746;12690.7;1558
2013-11-01;14131.2;1824.5;12383.7;2050.2
2013-12-01;75039.2;6397.7;72472.8;3209.1
2014-01-01;29564.5;527.5;29260.8;1542.8
2014-02-01;41397.6;1031.8;11215;3047.7
2014-03-01;26133.3;3631.4;9825.5;6210.6
2014-04-01;10100;8412.9;10904.4;7406.3
2014-05-01;29951.9;2842.8;20356;2303.1
2014-06-01;50686.5;3929.4;45887.9;4592.6
2014-07-01;25537.4;5860.5;7477.9;7327
2014-08-01;22880.3;2179.3;13076;3554.4
2014-09-01;30074.4;6969.7;18243.9;6743.9
2014-10-01;24571;44307.6;20955.6;8809.1
2014-11-01;39427;36257.8;28194.1;2316.1
2014-12-01;110376.5;51183.1;105774.7;7102.7
2015-01-01;44100;8.8;12522;2964.9
2015-02-01;17560.6;861.3;7280.3;2176
2015-03-01;37035.6;2621.4;16687.1;3579.9
2015-04-01;21463.2;18130.1;12400.9;7643.2
2015-05-01;25900;3183.1;17311.2;6721.6
2015-06-01;57263.8;21393.1;36611.3;4335.3
2015-07-01;48292.3;6847;30871.1;6737.4
2015-08-01;21527.3;14685.9;22170.9;2838
2015-09-01;30344;99228.4;19128;3827.9
2015-10-01;24647.2;26077.8;19391.3;56085.2
2015-11-01;100846.9;18667.7;68731.7;1546.9
2015-12-01;131568.5;19831.1;112773.6;3087.3
2016-01-01;3272.2;1417.6;5988.2;1500.9
2016-02-01;38882.8;1687.5;16552.6;2964.1
2016-03-01;74103.1;2302.4;41761.9;3148.3
2016-04-01;30622.2;109912.8;17520.7;11406.5
2016-05-01;38692.1;16046.7;36785.4;23839.1
2016-06-01;50856.6;42771.2;51318.5;5325.5
2016-07-01;45642.1;65341.7;41467.9;15704.8
2016-08-01;28796.3;30169;31320.7;12787.1
2016-09-01;52700.9;33712.8;40494.8;30398.8
2016-10-01;169581.7;66777.2;23462.1;24790
2016-11-01;73403.3;50378.2;60453.3;43392.2
2016-12-01;250004.6;91272.6;153581.9;26081.4
2017-01-01;39220.5;166712.6;9766.9;45852.8
2017-02-01;92717.8;31375.9;33780.9;50554.3
2017-03-01;113532.3;82799.9;105836.3;50202.6
2017-04-01;57753.7;117883.4;18333.6;170369.8
2017-05-01;65195.4;75660.2;56765.2;53256.3
2017-06-01;176656.5;96705.9;63495;70112.5
2017-07-01;21901.8;57105.5;30700.3;33789.7
2017-08-01;37203.8;48129.7;10512.9;41581.5
2017-09-01;30413.8;64308.5;32129;84772.7
2017-10-01;19979.8;58389.1;27945.1;28411.9
2017-11-01;92836.9;100231.9;73668;46195.4
2017-12-01;377721.1;67584.8;201913.1;48787.4
2018-01-01;69540.3;202385.9;37421.7;29852.3
2018-02-01;87981;52119.6;31793.3;47232.1
2018-03-01;164163.9;26141;147281;53360.8
2018-04-01;91073.1;56869.2;31539.4;59826.6
2018-05-01;94226;27335.3;35502.4;82168.8
2018-06-01;130329.3;303460.4;70594;84531.9
2018-07-01;66955;74399.1;35154.7;54221.1
2018-08-01;60778.4;71203.4;27209.9;79826.1
2018-09-01;160779.3;73661.9;128918.9;99623.3
2018-10-01;193426.6;214019.4;59899.7;77349.5
2018-11-01;230164.6;142084.9;164170;192417.4
2018-12-01;180829.4;442506.3;237181.8;134888.3
2019-01-01;93675.9;107371.2;116728.9;85166.1
2019-02-01;180576.2;88610.9;230648.4;89578.3
2019-03-01;210927.7;72404.8;170865.6;174740.3
2019-04-01;208453.6;558201.2;203766.6;231294.5
2019-05-01;159671.2;191918.9;204415.8;286250.3
2019-06-01;228438.3;162998.2;201312.2;131597.3
2019-07-01;181154.8;339879.2;174464.3;132817.2
2019-08-01;6033.2;35872.9;35185.1;87895.9
2019-09-01;50490;29525.1;56503.3;76819.9
2019-10-01;73941.8;26253.4;58870.5;81059.3
2019-11-01;277171.7;34364.8;206025.1;77385.6
2019-12-01;554998.6;102514.4;168343.1;78158.4
2020-01-01;68542.4;77081.4;65423.6;25766.7
2020-02-01;149842.3;45624.8;92093.8;20548
2020-03-01;281296.3;61265.1;166984.6;55419.6
2020-04-01;256827.7;30386.2;176724.8;20612.4
2020-05-01;217835;68461.9;114485.4;39460.7
2020-06-01;305897.4;22417.5;282034.2;17469.5
