;Expo Totales;PP;MOA;MOI;Combustibles y Energí­a;Impo Totales;Bienes de capital;Bienes intermedios;Combustibles y Lubricantes;Piezas y acces;Bienes de consumo;Vehí­culos;Resto;PBIUSD
1/1/2006;9925.469867;1846.624191;3290.734753;2952.864796;1835.246127;7371.782444;1702.528376;2690.79958;324.16386;1307.607718;829.971676;487.415387;29.295847;210067.6865
1/4/2006;11954.40549;2651.298086;3625.202002;3652.171643;2025.733762;8230.573876;1918.194037;2815.86381;482.094474;1526.58586;934.671835;521.014692;32.149168;237358.7536
1/7/2006;12111.13644;2044.617695;4062.725109;4060.228549;1943.565084;9302.587341;2250.368812;3178.596715;586.298318;1746.295317;1028.566765;484.692586;27.768828;236258.0697
1/10/2006;12555.19097;2082.828466;4286.283374;4177.633332;2008.445796;9248.738849;2276.872693;3170.608591;339.594624;1774.256607;1114.365959;543.955202;29.085173;247752.0524
1/1/2007;11149.47393;2154.841754;3604.481184;3665.26711;1724.883885;9163.933664;2196.517467;3287.599997;328.5489844;1678.960842;1031.69902;613.3265019;27.28085126;250122.3511
1/4/2007;13675.49385;3534.433888;4435.590091;4002.498043;1702.971827;10181.95278;2350.389998;3509.547543;638.0209033;1911.430416;1098.103131;645.1392405;29.32154629;293380.3466
1/7/2007;14363.69758;3371.900329;5144.355329;4422.008345;1425.433574;12695.26582;2807.038654;4329.301488;1269.084608;2149.551898;1391.132368;717.8723972;31.2844048;291373.3799
1/10/2007;16791.64323;3424.396022;6028.646219;5243.012227;2095.588759;12666.31114;3162.38521;4244.82286;608.9370067;2325.188471;1566.330849;732.1952002;26.45154084;316313.2843
1/1/2008;16034.83073;3828.681484;5349.051232;4661.050988;2196.047029;12851.7001;3292.363905;4572.452904;422.637579;2201.5375;1391.904294;945.15564;25.64828033;327464.9494
1/4/2008;17492.9768;4649.669869;5779.4406;5184.127943;1879.738394;15326.02989;3129.993226;5313.361303;1702.605599;2634.130557;1506.287688;1012.038859;27.61265705;388869.1932
1/7/2008;21295.94411;5254.413285;7370.579513;6412.397283;2258.554031;16516.46881;3323.282762;5857.917296;1674.631003;2879.410493;1677.823438;1072.606323;30.79749398;388555.4442
1/10/2008;15195.08778;2468.953277;5406.925159;5805.791743;1513.417604;12768.25356;3029.914977;4482.234754;533.3829318;2243.548868;1608.579176;843.8311963;26.76165268;351087.4613
1/1/2009;11923.1917;2238.033178;4606.377782;3658.031012;1420.74973;8311.694565;1878.498709;2946.754884;348.072399;1493.359156;1151.041606;465.9171013;28.05071003;313885.0851
1/4/2009;15466.96156;3029.202368;5971.848395;4567.961372;1897.949428;9055.554329;2075.520017;2778.519241;824.5781364;1604.988292;1149.309243;582.9945855;39.64481428;335513.4843
1/7/2009;13807.34767;2190.700785;5410.806111;4894.555381;1311.285394;10510.01524;2263.474904;3247.709469;1020.558458;2024.477229;1292.155535;629.7114268;31.92821415;331482.2184
1/10/2009;14474.5957;1799.041603;5235.789698;5613.144367;1826.620033;10909.00521;2521.143336;3587.815139;432.9823897;2106.754481;1395.299121;833.6196039;31.39114096;356038.2479
1/1/2010;13054.60182;2264.475354;4026.832228;4966.173402;1797.120833;11067.11801;2468.23252;3642.472847;534.3187634;2069.947863;1392.299186;919.373836;40.47299067;369481.532
1/4/2010;19080.10729;5725.551405;5990.413183;5851.123267;1513.019436;13827.40878;2648.870753;4201.067292;1669.61501;2785.313219;1474.6982;1012.241256;35.60304532;432110.836
1/7/2010;18741.77713;4590.21915;6439.347747;6327.014185;1385.196047;15982.92657;3065.869383;4908.676223;1638.637785;3314.81932;1735.027759;1287.205547;32.6905528;434552.5959
1/10/2010;17297.96081;2568.320603;6214.508362;6685.306265;1829.825582;15915.12472;3554.673036;4935.137808;922.6461807;3288.6339;1918.260049;1262.851891;32.92185704;461017.6103
1/1/2011;16681.25501;3607.830779;5654.316811;5683.100006;1736.007418;15295.0931;3110.120452;4839.091489;1369.026471;2928.923582;1750.705206;1260.547063;36.67883876;470727.7222
1/4/2011;22792.72637;6132.380728;7871.069087;7458.815152;1330.461403;18727.28765;3324.417703;5320.557667;3031.684966;3769.411987;1921.233389;1305.119964;54.86197635;548002.6598
1/7/2011;23272.26322;6194.394288;7517.757548;7921.659403;1638.451977;21418.11816;3600.805181;6199.686856;3570.633693;4402.734341;2176.786154;1409.414735;58.05719829;540047.8172
1/10/2011;20234.84668;3898.718978;6632.678638;7726.690048;1976.759016;18520.17679;3627.777635;5433.986778;1824.85635;3818.148003;2138.791259;1617.088749;59.52801996;549663.0465
