;Gastos Corrientes;Gastos en consumo y operación;Gasto Seguridad Social;Gastos Transferencias Corrientes;Otros Gastos;Ingresos Corrientes;Ingresos Tributarios;Ingresos Seguridad Social;Ingresos No Tributarios;Ingresos Transferencias Corrientes;Otros Ingresos
2000-01-01;4939.6;819.3;1683.7;1955.8;480.8;4572.9;3327.4;1080.4;133.9;3.4;27.8
2000-02-01;4696.4;687.9;1341.7;1873.8;793;4198.1;3096.1;894.1;132.7;47.8;27.4
2000-03-01;5283.8;717.8;1361.4;2088;1116.6;4764.5;3160.2;912.8;199.4;235.4;256.7
2000-04-01;4849.2;661.7;1349.9;2145.1;692.5;4482.7;3294;791.4;148.7;17.1;231.5
2000-05-01;5112.7;687;1365.7;1914.6;1145.4;4656.3;3659.5;819;106.2;33;38.6
2000-06-01;4549.9;708.9;1358.3;1944;538.7;5639.9;4130.7;863.7;586.4;34.6;24.5
2000-07-01;5625.4;887.2;1979.9;2063;695.3;4788.3;3269.9;1102.4;175.6;5.6;234.8
2000-08-01;4527.3;673.2;1355.2;1887.8;611.1;4657.5;3551;842.8;184.3;32.9;46.5
2000-09-01;4806.8;647;1351;1986.3;822.5;4542.2;3328.7;995.1;117.4;13.3;87.7
2000-10-01;4674.1;681.4;1339.7;1959.5;693.5;4451.1;3346.1;801.7;100.4;4.2;198.7
2000-11-01;5478.2;704.1;1339.7;2010.3;1424.1;4076.2;3139.9;794.6;85.2;17.8;38.7
2000-12-01;4958.1;750;1605.1;1944.2;658.8;4382;3368.3;786.3;115.7;77.7;34
2001-01-01;5474.1;886.6;1753.5;2079.5;754.5;4766.6;3362;1102.6;264.6;7.3;30.1
2001-02-01;4654.1;658.2;1334.5;1752.8;908.6;4322.4;2929.1;778.8;343;43.5;228
2001-03-01;5302.6;748;1336.5;2201.2;1016.9;4106.8;2977.4;842;114.4;118.7;54.3
2001-04-01;4638.1;665.7;1375.2;1851.6;745.6;3960.5;2977.7;797;123.4;11.5;50.9
2001-05-01;5878.6;660.6;1352.9;2137.1;1728;5094.6;4085.1;775.9;163.9;39.6;30.1
2001-06-01;5288.4;707.7;1321;1920.7;1339;5206.7;3979.7;821;150.6;28.1;227.3
2001-07-01;5228.1;825.9;1957.2;1901.4;543.6;4360.5;2947.7;993.1;390.8;1.8;27.1
2001-08-01;4194.6;615.9;1196.9;1888.8;493;4482.2;3489.9;781.4;146;35.6;29.3
2001-09-01;3747.6;642.1;1127.1;1523;455.4;4124.2;2958.9;755.1;152.5;79.9;177.8
2001-10-01;4383.3;618.7;1243.3;1642.1;879.2;3870.1;2967.3;765.7;82.5;12.2;42.4
2001-11-01;4133.4;616.9;1221.7;1426;868.8;3440;2608.8;701.6;66.8;14.3;48.5
2001-12-01;3607.1;597.6;1397.1;1142.8;469.6;2531.5;1881;525.4;73.6;21.2;30.3
2002-01-01;4021.6;730;1636.5;1465.2;189.9;3743.1;2685;871.7;160.9;3.7;21.8
2002-02-01;3741.2;583.1;1250.3;1575.7;332.1;3227.5;2363.5;709;123.6;0.5;30.9
2002-03-01;4646.9;624.9;1229.5;2642;150.5;3344.9;2139.8;703.2;101;38.3;362.6
2002-04-01;3854.7;584.6;1257.1;1715.7;297.3;3216.4;2345;659.7;166.1;14.8;30.8
2002-05-01;5446.9;710;1340.3;2216.5;1180.1;5540.9;4221.9;828.2;238.9;29.5;222.4
2002-06-01;4155.2;724.9;1264;1870.5;295.8;4632.1;3376.6;783.7;230.2;4.5;237.1
2002-07-01;5664.1;855.5;1805.8;2438.9;563.9;5420.1;3896.5;1038.7;332.1;20.7;132.1
2002-08-01;4950.4;749.4;1294.6;1958.5;947.9;4902.5;3531.9;830.6;236.9;39.7;263.4
2002-09-01;5106.6;785.2;1275.1;1913.3;1133;4371.8;3259.8;778.3;261.4;18.5;53.8
2002-10-01;4606.5;743.8;1299.3;2435.4;128;5970.2;4004.1;849.5;242.4;12.9;861.3
2002-11-01;5796;776.3;1290.8;2408;1320.9;5349.1;4171.3;849.6;277.9;9.5;40.8
2002-12-01;5460.3;1097.1;1592.1;2489;282.1;5267.5;4039;808.2;329.8;8.3;82.2
2003-01-01;5382.9;874;1615.3;2416.3;477.3;6001.5;4549.5;1154.4;236.8;38.2;22.6
2003-02-01;5560.5;835.5;1402.9;2120.1;1202;5025.3;3693.8;835.1;230.5;19.9;246
2003-03-01;4883.1;919;1404.7;2229.5;329.9;5266.8;3889.3;914.9;306.6;24.6;131.4
2003-04-01;5193.8;902;1430.8;2612;249;5862.3;4551.6;861.1;279.7;2.6;167.3
2003-05-01;6589.1;905;1421.9;3337.7;924.5;7899.7;6533.1;888.4;352.3;2.1;123.8
2003-06-01;6021.9;926.5;1494.3;3129.4;471.7;6674.4;5532.4;847.9;234;4.2;55.9
2003-07-01;6292.2;1160.9;1988;2821.5;321.8;6851.6;5193.7;1307.1;283.4;3;64.4
2003-08-01;6703.2;885.4;1503.3;3015.9;1298.6;6516.9;5162.5;950.7;337.8;3;62.9
2003-09-01;5498.2;964.9;1539.3;2702.8;291.2;6241.4;4942.6;922;259.2;12.1;105.5
2003-10-01;5863.5;932.7;1522.6;2923.5;484.7;6582.8;5123;1035.2;327.1;6.4;91.1
2003-11-01;6239.1;943.2;1547;3046.3;702.6;6500.7;5164.9;975.5;272.1;4.6;83.6
2003-12-01;7991.2;1322.2;2594.2;3654.9;419.9;7699.2;6401.1;996.7;187.5;25.8;88.1
2004-01-01;6056.1;1046.1;1597.5;3178.6;233.9;7763.7;5836.6;1406.6;416;29.5;75
2004-02-01;6478.6;947.4;1621.1;2878.2;1031.9;6719.1;5195;1093.3;320.2;3.4;107.2
2004-03-01;6535.2;961.7;1838;3355.9;379.6;8175.4;5649.4;1102.1;315.1;42.8;1066
2004-04-01;5823.9;942.2;1507.8;2996;377.9;7656.1;5966.4;1164.1;379.1;56.8;89.7
2004-05-01;8265.7;947.9;1617.1;5124.9;575.8;12633.6;11139.2;1076.7;326.5;5.7;85.5
2004-06-01;7962.7;1062.7;2193;4396.2;310.8;9880.8;8362.8;1087.9;345.1;15.5;69.5
2004-07-01;7383.7;1269.9;2027.8;3828.8;257.2;9291.9;7078.7;1673.2;439.3;11.4;89.3
2004-08-01;7420.8;957.7;1621.7;3736;1105.4;8737.8;7178.8;1123;344.5;11.2;80.3
2004-09-01;7028.6;1055.8;1810;3798.2;364.6;8552.8;6761.1;1334.9;339.6;17.3;99.9
2004-10-01;7043.7;1075.8;1771.6;3929.7;266.6;8616.6;6850.8;1292.2;369.8;22.5;81.3
2004-11-01;7746.3;1127;1871.9;4003.4;744;8499.7;6854.7;1169.1;380.4;23;72.5
2004-12-01;9910.7;1578.7;3399.6;4585.1;347.3;8440.6;6710.1;1116.5;447;45.3;121.7
2005-01-01;7125.7;1278.8;1708.3;3943.5;195.1;9255.2;7077.3;1785.4;271.3;32.6;88.6
2005-02-01;7887;1120.5;1795.4;3751.4;1219.7;8678.5;6845.6;1374.2;365.2;21.3;72.2
2005-03-01;7293.4;1131;1802.9;4007.2;352.3;8936.8;7087.7;1299.6;419.2;27.2;103.1
2005-04-01;7579.7;1215.6;1876.1;4131;357;10081.6;8071.9;1411.5;436.1;32.1;130
2005-05-01;11226.3;1483.8;1826.2;5239.6;2676.7;12602.8;10680.2;1355.3;387.9;61.6;117.8
2005-06-01;9878.6;1251;2505.6;5053.2;1068.8;11551.5;9822.2;1354.6;240.3;21.9;112.5
2005-07-01;8174.4;1418.3;2121.1;4438.2;196.8;10638.9;8288.6;1947.1;254.6;22.6;126
2005-08-01;9634.2;1166.5;2086.8;4901.3;1479.6;10790.8;8866.6;1494.6;237.1;49.6;142.9
2005-09-01;8893.7;1385.4;1994;4792.8;721.5;10599.8;8608;1547.4;242.3;45.1;157
2005-10-01;8824.1;1371.7;1977.5;5009;465.9;10485.8;8395;1603.8;248.7;62.9;175.4
2005-11-01;8835.8;1344.5;2067.5;4698.1;725.7;10670.1;8548.4;1700.7;224.9;61.6;134.5
2005-12-01;11651.1;1858.5;3143.7;5631.1;1017.8;11932;9749.8;1712.8;288.3;39.4;141.7
2006-01-01;9042.2;1566;2186.5;5000.2;289.5;11544.1;8818.6;2283.6;241.6;44.3;156
2006-02-01;9899.61;1297.81;2003.5;4871;1727.3;11140.9;8729.7;1980.7;263.1;15.5;151.9
2006-03-01;9201.2;1477.9;2056.9;4927.2;739.2;11226;8758.9;1849.6;264.2;50.1;303.2
2006-04-01;8513.1;1379.3;2059.7;4595;479.1;11149;8171.9;1913.1;255.2;58.6;750.2
2006-05-01;10175.2;1407.3;2115.3;6280.2;372.4;14871.5;12517.6;1897;267;45.7;144.2
2006-06-01;12477.3;1528.3;3568.8;6232.6;1147.6;14636;12215.6;1963.8;242.1;37.5;177
2006-07-01;10533.1;1853;2731.3;5624.2;324.6;13437;9983.8;2769.7;305.7;30.6;347.2
2006-08-01;12333.2;1479.6;2661.4;5831.9;2360.3;13633.4;10689.2;2110.4;349.1;44.7;440
2006-09-01;10494.7;1567.1;2686.2;5448.7;792.7;13321.5;10492;2128.8;368.1;63.8;268.8
2006-10-01;11151.6;1682.5;2760.3;5964.1;744.7;14216.2;11035.5;2292.2;491.1;110.5;286.9
2006-11-01;11101.8;1610.1;3433;5701.7;357;14131.6;11365.3;2169.4;305.8;63.5;227.6
2006-12-01;15515.4;2336.2;3927.5;6515.1;2736.6;14909;11447.5;2248.1;368.2;44;801.2
2007-01-01;9469.7;2139.7;3710.7;2672.5;946.8;11794.6;7874.7;3387.9;319.4;37.8;174.8
2007-02-01;9557.8;1689.2;3175.7;2751.9;1941;10874.1;6927.8;2457.3;260.2;19.7;1209.1
2007-03-01;9427.2;1726.2;3312.9;3095.9;1292.2;11361.5;7584.2;2973.2;281.9;63.4;458.8
2007-04-01;8863.9;1771.8;3362;2633;1097.1;10920.6;7303.5;2829.8;351.9;70;365.4
2007-05-01;9148.02;1816.9;3781.3;3034.62;515.2;15335.4;10317.4;4400.7;327.3;45.8;244.2
2007-06-01;11945.6;2068.9;5190.8;3378.8;1307.1;14761.9;9992.2;4139.3;339;29.9;261.5
2007-07-01;11886.6;2457.3;4137.1;4076.7;1215.5;15692.2;9325.7;5582.7;310.6;53.9;419.3
2007-08-01;11966.4;2013.3;3968.8;4070.1;1914.2;14225.1;9922.4;3552.7;380.2;30.1;339.7
2007-09-01;11435.5;2156.9;4314.5;3763.4;1200.7;15107.4;9052.5;5377.2;319.2;33;325.5
2007-10-01;12308.7;2130.7;4321.6;4188.8;1667.6;14625.3;9928.7;3530.5;360.4;51;754.7
2007-11-01;11168.7;2196.4;4650.6;3749.9;571.8;14319.4;10185.4;3392.7;347.7;40.7;352.9
2007-12-01;17696.7;2907.6;6534.8;3971.6;4282.7;14783.5;10951.8;3097;338.1;35.3;361.3
