;IPC;Nucleo;Estacionales;Regulados;Alimentos;Vivienda;Salud;Transporte;IPIM;IPIB
1/2/1944;1.07E-13;;;;;;;;;
1/3/1944;1.07E-13;;;;;;;;;
1/4/1944;1.08E-13;;;;;;;;;
1/5/1944;1.07E-13;;;;;;;;;
1/6/1944;1.06E-13;;;;;;;;;
1/7/1944;1.08E-13;;;;;;;;;
1/8/1944;1.08E-13;;;;;;;;;
1/9/1944;1.09E-13;;;;;;;;;
1/10/1944;1.09E-13;;;;;;;;;
1/11/1944;1.10E-13;;;;;;;;;
1/12/1944;1.10E-13;;;;;;;;;
1/1/1945;1.10E-13;;;;;;;;;
1/2/1945;1.19E-13;;;;;;;;;
1/3/1945;1.21E-13;;;;;;;;;
1/4/1945;1.30E-13;;;;;;;;;
1/5/1945;1.30E-13;;;;;;;;;
1/6/1945;1.31E-13;;;;;;;;;
1/7/1945;1.31E-13;;;;;;;;;
1/8/1945;1.32E-13;;;;;;;;;
1/9/1945;1.31E-13;;;;;;;;;
1/10/1945;1.32E-13;;;;;;;;;
1/11/1945;1.32E-13;;;;;;;;;
1/12/1945;1.32E-13;;;;;;;;;
1/1/1946;1.35E-13;;;;;;;;;
1/2/1946;1.45E-13;;;;;;;;;
1/3/1946;1.45E-13;;;;;;;;;
1/4/1946;1.49E-13;;;;;;;;;
1/5/1946;1.52E-13;;;;;;;;;
1/6/1946;1.51E-13;;;;;;;;;
1/7/1946;1.54E-13;;;;;;;;;
1/8/1946;1.54E-13;;;;;;;;;
1/9/1946;1.53E-13;;;;;;;;;
1/10/1946;1.53E-13;;;;;;;;;
1/11/1946;1.57E-13;;;;;;;;;
1/12/1946;1.58E-13;;;;;;;;;
1/1/1947;1.60E-13;;;;;;;;;
1/2/1947;1.59E-13;;;;;;;;;
1/3/1947;1.60E-13;;;;;;;;;
1/4/1947;1.70E-13;;;;;;;;;
1/5/1947;1.70E-13;;;;;;;;;
1/6/1947;1.70E-13;;;;;;;;;
1/7/1947;1.78E-13;;;;;;;;;
1/8/1947;1.76E-13;;;;;;;;;
1/9/1947;1.78E-13;;;;;;;;;
1/10/1947;1.78E-13;;;;;;;;;
1/11/1947;1.77E-13;;;;;;;;;
1/12/1947;1.79E-13;;;;;;;;;
1/1/1948;1.84E-13;;;;;;;;;
1/2/1948;1.81E-13;;;;;;;;;
1/3/1948;1.81E-13;;;;;;;;;
1/4/1948;1.84E-13;;;;;;;;;
1/5/1948;1.85E-13;;;;;;;;;
1/6/1948;1.90E-13;;;;;;;;;
1/7/1948;1.95E-13;;;;;;;;;
1/8/1948;1.95E-13;;;;;;;;;
1/9/1948;1.99E-13;;;;;;;;;
1/10/1948;2.07E-13;;;;;;;;;
1/11/1948;2.07E-13;;;;;;;;;
1/12/1948;2.08E-13;;;;;;;;;
1/1/1949;2.19E-13;;;;;;;;;
1/2/1949;2.20E-13;;;;;;;;;
1/3/1949;2.20E-13;;;;;;;;;
1/4/1949;2.35E-13;;;;;;;;;
1/5/1949;2.46E-13;;;;;;;;;
1/6/1949;2.53E-13;;;;;;;;;
1/7/1949;2.56E-13;;;;;;;;;
1/8/1949;2.61E-13;;;;;;;;;
1/9/1949;2.65E-13;;;;;;;;;
1/10/1949;2.70E-13;;;;;;;;;
1/11/1949;2.77E-13;;;;;;;;;
1/12/1949;2.86E-13;;;;;;;;;
1/1/1950;2.93E-13;;;;;;;;;
1/2/1950;2.88E-13;;;;;;;;;
1/3/1950;2.95E-13;;;;;;;;;
1/4/1950;2.95E-13;;;;;;;;;
1/5/1950;3.02E-13;;;;;;;;;
1/6/1950;3.16E-13;;;;;;;;;
