;Res Int;TC;TCR
1/1/2002;15015.46083;1.4;109.9982508
1/2/2002;13858.71812;2.15;134.3128201
1/3/2002;13327.9741;2.95;163.9991228
1/4/2002;12461.72719;2.95;182.8022188
1/5/2002;11111.61204;3.6;191.1949861
1/6/2002;9910.68821;3.8;198.8486857
1/7/2002;9223.882265;3.68;187.7423153
1/8/2002;9011.98553;3.62;179.1338366
1/9/2002;9372.739579;3.75;174.0311938
1/10/2002;9557.690594;3.55;167.4303029
1/11/2002;9883.891256;3.57;165.9421474
1/12/2002;10420.20599;3.363;165.3199322
1/1/2003;9914.678687;3.264753333;158.1652325
1/2/2003;9652.298527;3.168289286;151.8897849
1/3/2003;10372.90785;3.075029032;149.2548135
1/4/2003;10588.02044;2.90517;145.6427446
1/5/2003;11086.90241;2.832425806;148.789716
1/6/2003;11763.22405;2.814796667;149.1352484
1/7/2003;12774.12701;2.792816129;147.4201651
1/8/2003;13401.69931;2.928093548;151.2234074
1/9/2003;12453.72085;2.921506667;153.282106
1/10/2003;13246.86277;2.860151613;152.7421223
1/11/2003;13284.74882;2.88042;153.6581559
1/12/2003;13819.94083;2.962703226;159.8272088
1/1/2004;14484.20912;2.898003226;159.6028474
1/2/2004;15009.08733;2.934262069;160.3346046
1/3/2004;13506.76578;2.899635484;157.1970281
1/4/2004;15254.76943;2.833943333;152.1854631
1/5/2004;16252.05761;2.920048387;152.5414404
1/6/2004;17240.34099;2.961353333;154.3482919
1/7/2004;17921.78612;2.954512903;155.7746409
1/8/2004;18061.99072;3.015329032;159.4049116
1/9/2004;18199.87053;2.99805;160.2920855
1/10/2004;18388.28291;2.969558065;160.4164962
1/11/2004;18719.66272;2.9541;162.8925182
1/12/2004;19309.8773;2.971925806;166.9288235
1/1/2005;19840.81205;2.947122581;164.0140653
1/2/2005;20526.33895;2.915917857;162.7902491
1/3/2005;20741.36449;2.925109677;159.9658273
1/4/2005;20618.34441;2.90124;159.6903974
1/5/2005;21601.63907;2.891606452;161.1519702
1/6/2005;22559.42775;2.882943333;159.0568474
1/7/2005;24015.04296;2.869403226;157.8817208
1/8/2005;25079.90442;2.888464516;160.0270786
1/9/2005;25580.71544;2.91149;162.3314125
1/10/2005;26046.71075;2.964787097;164.5071058
1/11/2005;26500.95858;2.96688;163.5799743
1/12/2005;27262.40586;3.013625806;163.5214165
1/1/2006;19607.68378;3.045441935;164.9360988
1/2/2006;20058.79893;3.068553571;167.8184557
1/3/2006;20872.66839;3.075809677;167.6849305
1/4/2006;21865.79064;3.06742;167.2594364
1/5/2006;23691.46664;3.053229032;166.4700549
1/6/2006;24837.24346;3.08059;164.3294921
1/7/2006;26041.48177;3.082193548;165.7086137
1/8/2006;27023.60181;3.078387097;166.2518179
1/9/2006;27739.49738;3.09962;165.8999911
1/10/2006;28389.5832;3.09846129;164.7711183
1/11/2006;29760.02895;3.07583;163.1513219
1/12/2006;31167.1227;3.060119355;162.7475086
1/1/2007;32827.50115;3.084922581;162.3022421
1/2/2007;34225.55619;3.102632143;163.7537038
1/3/2007;35875.78997;3.100509677;163.7211178
1/4/2007;37646.7;3.091333333;163.7623407
1/5/2007;39632.51613;3.080867742;162.0673995
1/6/2007;41937.63333;3.078776667;159.9989031
1/7/2007;43869.12903;3.11;160.7103438
1/8/2007;43730.80645;3.152693548;156.562631
1/9/2007;42931.46667;3.147863333;155.412694
1/10/2007;42723.41935;3.160883871;158.2943156
1/11/2007;43792.3;3.13517;159.2330725
