;Canasta Basica;Linea Indigencia;Linea Pobreza;SalMVM;Haber Jub;IS Real-Total;IS Real-Formal;IS Real-Informal
1/1/2004;105.81;326.9529;716.0148;350;240;;;
1/2/2004;106.17;328.0653;718.4559;350;240;;;
1/3/2004;106.02;327.6018;717.4362;350;240;;;
1/4/2004;106.52;329.1468;720.8661;350;240;;;
1/5/2004;106.66;329.5794;721.7622;350;240;;;
1/6/2004;106.88;330.2592;723.3072;350;260;;;
1/7/2004;106.14;327.9726;724.8213;350;260;;;
1/8/2004;107.9;333.411;730.167;350;260;;;
1/9/2004;108.54;335.3886;734.493;450;308;;;
1/10/2004;108.1;334.029;734.8638;450;308;;;
1/11/2004;108.25;334.4925;735.8835;450;308;;;
1/12/2004;108.36;334.8324;739.9932;450;308;;;
1/1/2005;108.66;335.7594;745.4007;450;308;;;
1/2/2005;111.37;344.1333;760.5417;450;308;;;
1/3/2005;114.71;354.4539;772.7163;450;308;;;
1/4/2005;114.18;352.8162;772.6545;450;308;;;
1/5/2005;114.04;352.3836;771.7275;510;308;;;
1/6/2005;114.49;353.7741;778.3092;570;308;;;
1/7/2005;115.78;357.7602;787.0848;630;350;;;
1/8/2005;117.5;363.075;791.5035;630;350;;;
1/9/2005;120.14;371.2326;801.8241;630;390;;;
1/10/2005;120.7;372.963;809.3328;630;390;;;
1/11/2005;124.73;385.4157;828.6453;630;390;;;
1/12/2005;124.59;384.9831;831.5499;630;390;;;
1/1/2006;125.81;388.7529;843.6009;630;390;;;
1/2/2006;127.19;393.0171;848.9157;630;390;;;
1/3/2006;129.44;399.9696;859.947;630;390;;;
1/4/2006;128.49;397.0341;857.5986;630;390;;;
1/5/2006;126.57;391.1013;852.5928;630;390;;;
1/6/2006;126.62;391.2558;856.857;630;470;;;
1/7/2006;126.36;390.4524;858.9891;630;470;;;
1/8/2006;126.68;391.4412;861.183;760;470;;;
1/9/2006;126.78;391.7502;861.8628;780;470;;;
1/10/2006;127.88;395.1492;869.3406;780;470;;;
1/11/2006;130.5;403.245;879.0741;800;470;;;
1/12/2006;134.14;414.4926;899.4372;800;470;;;
1/1/2007;;;;800;530;;;
1/2/2007;;;;800;530;;;
1/3/2007;;;;800;530;;;
1/4/2007;;;;800;530;;;
1/5/2007;;;;800;530;;;
1/6/2007;;;;800;530;;;
1/7/2007;;;;800;530;;;
1/8/2007;;;;900;530;;;
1/9/2007;;;;900;596.25;;;
1/10/2007;;;;960;596.25;;;
1/11/2007;;;;960;596.25;;;
1/12/2007;;;;980;596.25;;;
1/1/2008;;;;980;596.25;;;
1/2/2008;;;;980;596.25;;;
1/3/2008;;;;980;655;;;
1/4/2008;;;;980;655;;;
1/5/2008;;;;980;655;;;
1/6/2008;;;;980;655;;;
1/7/2008;;;;980;690;;;
1/8/2008;;;;1200;690;;;
1/9/2008;;;;1200;690;;;
1/10/2008;;;;1200;690;;;
1/11/2008;;;;1200;690;;;
1/12/2008;;;;1240;690;;;
1/1/2009;;;;1240;690;;;
1/2/2009;;;;1240;690;;;
1/3/2009;;;;1240;770;;;
1/4/2009;;;;1240;770;;;
1/5/2009;;;;1240;770;;;
1/6/2009;;;;1240;770;;;
1/7/2009;;;;1240;770;;;
1/8/2009;;;;1400;770;;;
1/9/2009;;;;1400;827.23;;;
1/10/2009;;;;1440;827.23;;;
1/11/2009;;;;1440;827.23;;;
1/12/2009;;;;1440;827.23;;;
1/1/2010;;;;1500;827.23;;;
1/2/2010;;;;1500;827.23;;;
