,Ejercicio,Ubicación Geográfica,Presupuestado,Ejecutado,% Ejecutado
0,2025,Ciudad Autónoma de Buenos Aires,25338897.58,2909577.97,11.48
1,2025,Provincia de Buenos Aires,17864009.64,4108616.31,23.0
2,2025,Provincia de Catamarca,654886.84,118518.63,18.1
3,2025,Provincia de Córdoba,3313564.73,837478.46,25.27
4,2025,Provincia de Corrientes,1061266.5,248902.39,23.45
5,2025,Provincia del Chaco,1051152.42,253039.18,24.07
6,2025,Provincia del Chubut,830122.28,188173.76,22.67
7,2025,Provincia de Entre Ríos,1138977.22,274838.38,24.13
8,2025,Provincia de Formosa,487379.29,125089.89,25.67
9,2025,Provincia de Jujuy,891930.54,204432.12,22.92
10,2025,Provincia de La Pampa,627293.93,110875.41,17.68
11,2025,Provincia de La Rioja,529058.24,107635.75,20.34
12,2025,Provincia de Mendoza,2093226.57,537000.52,25.65
13,2025,Provincia de Misiones,1101539.83,266430.36,24.19
14,2025,Provincia del Neuquén,716980.77,171757.35,23.96
15,2025,Provincia de Río Negro,1278605.44,286899.4,22.44
16,2025,Provincia de Salta,1316776.07,341668.57,25.95
17,2025,Provincia de San Juan,878779.15,228000.32,25.95
18,2025,Provincia de San Luis,654396.11,129672.24,19.82
19,2025,Provincia de Santa Cruz,585360.19,89713.56,15.33
20,2025,Provincia de Santa Fe,3066028.4,731134.25,23.85
21,2025,Provincia de Santiago del Estero,1026111.63,250788.28,24.44
22,2025,Provincia de Tucumán,1751512.11,438604.33,25.04
23,2025,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",347606.48,48561.42,13.97
24,2025,Interprovincial,1579721.04,71531.93,4.53
25,2025,Nacional,15933324.5,866624.66,5.44
26,2025,Binacional,99016.02,0.0,0.0
27,2025,No Clasificado,8355690.53,1453976.6,17.4
