impacto_presupuestario_mes,jurisdiccion_desc,finalidad_desc,fuente_financiamiento_desc,ubicacion_geografica_desc,credito_vigente
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Crédito Externo,Ciudad Autónoma de Buenos Aires,1234.673745
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Crédito Externo,Nacional,7892.0461
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Crédito Externo,Provincia de Buenos Aires,1.833905
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Crédito Interno,Ciudad Autónoma de Buenos Aires,1703.20227
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Recursos Propios,Ciudad Autónoma de Buenos Aires,464.557091
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Tesoro Nacional,Ciudad Autónoma de Buenos Aires,38315.517117
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Tesoro Nacional,No Clasificado,36.956
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Tesoro Nacional,Provincia de Buenos Aires,0
1,Jefatura de Gabinete de Ministros,ADMINISTRACION GUBERNAMENTAL,Transferencias Internas,Ciudad Autónoma de Buenos Aires,1277.616879
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Crédito Externo,Nacional,1539.341822
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Ciudad Autónoma de Buenos Aires,21785.712726
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Nacional,651.337786
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Buenos Aires,272.868904
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Catamarca,3
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Córdoba,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Corrientes,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Entre Ríos,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Formosa,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Jujuy,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de La Pampa,4.4
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de La Rioja,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Mendoza,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Misiones,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Río Negro,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Salta,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de San Juan,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de San Luis,71.246184
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Santa Cruz,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Santa Fe,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Santiago del Estero,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia de Tucumán,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia del Chaco,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia del Chubut,4
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Recursos Propios,Provincia del Neuquén,0
1,Jefatura de Gabinete de Ministros,SERVICIOS ECONOMICOS,Tesoro Nacional,Nacional,145.669348
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Externo,Ciudad Autónoma de Buenos Aires,31053.267998
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Externo,Nacional,18.952
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Externo,No Clasificado,844.675853
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Externo,Provincia de Córdoba,471.048
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Ciudad Autónoma de Buenos Aires,6357.719772
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,No Clasificado,382.556976
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Buenos Aires,5104.997897
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Catamarca,1903.62
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Córdoba,8816.087661
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Corrientes,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Entre Ríos,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Formosa,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Jujuy,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de La Pampa,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de La Rioja,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Mendoza,2450
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Misiones,2400
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Río Negro,3828.903636
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Salta,2450
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de San Juan,2600
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de San Luis,1400
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Santa Cruz,1400
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Santa Fe,2500
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Santiago del Estero,2450
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",1900
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia de Tucumán,1900
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia del Chaco,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia del Chubut,1850
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Crédito Interno,Provincia del Neuquén,2200
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos con Afectación Específica,Ciudad Autónoma de Buenos Aires,794.803
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos con Afectación Específica,No Clasificado,33.174
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos con Afectación Específica,Provincia de Buenos Aires,0
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos con Afectación Específica,Provincia de Córdoba,0
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos con Afectación Específica,Provincia de Santa Fe,0
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Ciudad Autónoma de Buenos Aires,931.193776
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Interprovincial,100
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Nacional,501.969
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,No Clasificado,2
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Provincia de Buenos Aires,157.058995
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Provincia de Córdoba,405.896422
1,Jefatura de Gabinete de Ministros,SERVICIOS SOCIALES,Recursos Propios,Provincia de Salta,33.500349
